,Model,RMSE,MAPE,Weeks ahead,Location
215,CMU-TimeSeries,14.66643718740913,120.5251275191895,1,IA
216,CMU-TimeSeries,4.673271712569991,80.13233048139706,1,ID
217,CMU-TimeSeries,16.54449250587379,77.56149330800012,1,IL
218,CMU-TimeSeries,24.752096554267084,44.15639310305396,1,IN
219,CMU-TimeSeries,13.655291586896505,85.25465545389133,1,KS
220,CMU-TimeSeries,10.175922926686841,34.34350884610786,1,KY
221,CMU-TimeSeries,10.98709207907243,95.95733960014236,1,LA
222,CMU-TimeSeries,14.029303411015707,41.30096582863907,1,MA
223,CMU-TimeSeries,5.763159409917105,69.93821113415065,1,MD
224,CMU-TimeSeries,2.234633813153026,46666331.938222416,1,ME
225,CMU-TimeSeries,13.728688725719193,45.42367187757168,1,MI
226,CMU-TimeSeries,15.265397958749805,68.10397784631624,1,MN
227,CMU-TimeSeries,17.736790972076086,30.359537312321894,1,MO
228,CMU-TimeSeries,10.026167953126526,43.70340267291704,1,MS
229,CMU-TimeSeries,5.497228269007473,50.12844950768206,1,MT
230,CMU-TimeSeries,37.912831585303174,91.91925521413913,1,NC
231,CMU-TimeSeries,5.645668319291589,151129579.3419273,1,ND
232,CMU-TimeSeries,13.1807212556976,40.33027908857366,1,NE
233,CMU-TimeSeries,6.638797207035285,137.504096152321,1,NH
234,CMU-TimeSeries,8.247918419836713,38.30672581288276,1,NJ
235,CMU-TimeSeries,4.267989179144125,97637918.504729,1,NM
236,CMU-TimeSeries,6.701841592438099,101.11484881887219,1,NV
237,CMU-TimeSeries,15.097205060195696,49.19449526622525,1,NY
238,CMU-TimeSeries,23.04740588001325,61.2886737245113,1,OH
239,CMU-TimeSeries,32.1557744899841,59.499737289847666,1,OK
240,CMU-TimeSeries,3.6532883316374067,84.79327076520222,1,OR
241,CMU-TimeSeries,20.73637389183719,44.712444971575295,1,PA
242,CMU-TimeSeries,0.9583910040571783,37117060.714443676,1,RI
243,CMU-TimeSeries,9.957349797822346,58.483929606949424,1,SC
244,CMU-TimeSeries,10.88337328175007,52.0890959779882,1,SD
245,CMU-TimeSeries,14.026113739666114,34.48197194402429,1,TN
246,CMU-TimeSeries,58.22128621831247,85.28260342758476,1,TX
