,Model,Weeks ahead,Location,LS,CRPS,CS
239,CMU-TimeSeries,1,OK,-10.0,18.229197646965282,4.103999999999998
240,CMU-TimeSeries,1,OR,-5.364511413303315,2.2689962605284744,4.103999999999998
241,CMU-TimeSeries,1,PA,-10.0,12.14266875957072,4.103999999999998
242,CMU-TimeSeries,1,RI,-3.394676839103723,0.5853604689735534,4.103999999999998
243,CMU-TimeSeries,1,SC,,,4.141999999999999
244,CMU-TimeSeries,1,SD,-10.0,6.58499801546264,4.103999999999998
245,CMU-TimeSeries,1,TN,-10.0,8.343130344259608,4.103999999999998
246,CMU-TimeSeries,1,TX,-10.0,32.429558186324684,4.103999999999998
247,CMU-TimeSeries,1,US,-10.0,183.44023155251068,4.103999999999998
248,CMU-TimeSeries,1,UT,,,4.1419999999999995
249,CMU-TimeSeries,1,VA,-10.0,4.425396202226449,4.103999999999998
250,CMU-TimeSeries,1,VT,-4.319513212963203,0.3797040569023202,4.103999999999998
251,CMU-TimeSeries,1,WA,-5.756012445604611,3.0800557474175716,4.103999999999998
252,CMU-TimeSeries,1,WI,-9.878655544504326,10.253340437069978,4.103999999999998
253,CMU-TimeSeries,1,WV,-9.595876743606627,4.980493201235671,4.103999999999998
254,CMU-TimeSeries,1,WY,-6.649453762188963,1.8883367296786107,4.103999999999998
255,CMU-TimeSeries,2,AK,-5.852809567273596,1.4440762496151067,3.6479999999999997
256,CMU-TimeSeries,2,AL,-7.069263004922607,3.999607576338613,3.6479999999999997
257,CMU-TimeSeries,2,AR,-8.53632117806172,14.89452632608242,3.6479999999999997
258,CMU-TimeSeries,2,AZ,-9.61739164082098,34.508167564233744,3.6479999999999997
259,CMU-TimeSeries,2,CA,-7.609411164297333,16.72918281728674,3.6479999999999997
260,CMU-TimeSeries,2,CO,-7.482350164187917,12.424342848892579,3.6479999999999997
261,CMU-TimeSeries,2,CT,-6.062868618225837,2.758803647786441,3.6479999999999997
262,CMU-TimeSeries,2,DC,,,3.686
263,CMU-TimeSeries,2,DE,-5.772005948093638,3.2928816983789733,3.6479999999999997
264,CMU-TimeSeries,2,FL,-7.839888777480686,20.529241051902037,3.6479999999999997
265,CMU-TimeSeries,2,GA,,,3.686
266,CMU-TimeSeries,2,IA,-8.134816692789686,16.20594574476226,3.6479999999999997
267,CMU-TimeSeries,2,ID,-4.5615750685872065,1.8248481974266542,3.6479999999999997
268,CMU-TimeSeries,2,IL,-7.490136378808758,7.295095334106502,3.6479999999999997
269,CMU-TimeSeries,2,IN,-8.826116713613551,19.652074754268504,3.6479999999999997
270,CMU-TimeSeries,2,KS,-8.042624844548321,12.762606067328585,3.6479999999999997
271,CMU-TimeSeries,2,KY,,,3.686
272,CMU-TimeSeries,2,LA,-7.156646115365802,14.653039757360208,3.6479999999999997
273,CMU-TimeSeries,2,MA,-9.450920226194246,9.741973592236915,3.6479999999999997
274,CMU-TimeSeries,2,MD,,,3.686
275,CMU-TimeSeries,2,ME,-4.6815944480909835,1.619408804257781,3.6479999999999997
276,CMU-TimeSeries,2,MI,-8.571044491915773,19.103542368991963,3.6479999999999997
277,CMU-TimeSeries,2,MN,-8.471180293617367,14.903574428017723,3.6479999999999997
278,CMU-TimeSeries,2,MO,-9.61026530843858,16.14379562779702,3.6479999999999997
279,CMU-TimeSeries,2,MS,-8.518925854777153,9.109014005036558,3.6479999999999997
280,CMU-TimeSeries,2,MT,-7.901934805013643,5.205006107156903,3.6479999999999997
281,CMU-TimeSeries,2,NC,-8.6310864944086,35.74008779984152,3.6479999999999997
282,CMU-TimeSeries,2,ND,-7.702003624602208,2.4894182139815193,3.6479999999999997
283,CMU-TimeSeries,2,NE,-8.700947835318116,12.425301549094884,3.6479999999999997
284,CMU-TimeSeries,2,NH,-6.438131211340741,4.297411799688497,3.6479999999999997
285,CMU-TimeSeries,2,NJ,-6.835170759060384,9.944900177197558,3.6479999999999997
286,CMU-TimeSeries,2,NM,-4.623704450050372,3.2617334698226417,3.6479999999999997
287,CMU-TimeSeries,2,NV,-5.6395377393160775,6.26367261817339,3.6479999999999997
288,CMU-TimeSeries,2,NY,-6.928755786551932,10.946033234590978,3.6479999999999997
289,CMU-TimeSeries,2,OH,-8.712206947913817,20.134891945682316,3.6479999999999997
290,CMU-TimeSeries,2,OK,-10.0,39.97995767120511,3.6479999999999997
291,CMU-TimeSeries,2,OR,-5.552078185032875,1.76060757673423,3.6479999999999997
292,CMU-TimeSeries,2,PA,-9.494681009842816,25.461956665071973,3.6479999999999997
293,CMU-TimeSeries,2,RI,-4.795157993907815,0.5783712383736268,3.6479999999999997
294,CMU-TimeSeries,2,SC,,,3.686
295,CMU-TimeSeries,2,SD,-8.577676332429675,7.668737002623402,3.6479999999999997
296,CMU-TimeSeries,2,TN,,,3.686
297,CMU-TimeSeries,2,TX,,,3.686
298,CMU-TimeSeries,2,US,-10.0,352.4310937124306,3.6479999999999997
299,CMU-TimeSeries,2,UT,,,3.7239999999999998
300,CMU-TimeSeries,2,VA,-9.101828321344609,7.317750933281891,3.6479999999999997
301,CMU-TimeSeries,2,VT,,,3.686
302,CMU-TimeSeries,2,WA,-5.464827196150267,3.0002690296124435,3.6479999999999997
303,CMU-TimeSeries,2,WI,-8.27171325840828,17.374815433991646,3.6479999999999997
304,CMU-TimeSeries,2,WV,-7.739958880265272,5.2624612656417025,3.6479999999999997
305,CMU-TimeSeries,2,WY,-6.291257612770633,1.746294703385722,3.6479999999999997
306,CMU-TimeSeries,3,AK,-4.815910960907466,1.4738357789533274,3.1919999999999993
307,CMU-TimeSeries,3,AL,-6.92194156187856,6.010365911660303,3.1919999999999993
308,CMU-TimeSeries,3,AR,-7.663096143465353,24.032055631234783,3.1919999999999993
309,CMU-TimeSeries,3,AZ,-8.280398294450125,44.08951227495703,3.1919999999999993
310,CMU-TimeSeries,3,CA,-7.764772645611203,26.50257158997839,3.1919999999999993
311,CMU-TimeSeries,3,CO,-6.673383966349058,13.213274319826615,3.1919999999999993
312,CMU-TimeSeries,3,CT,-5.375286724581322,3.6574464283240538,3.1919999999999993
313,CMU-TimeSeries,3,DC,,,3.2299999999999995
314,CMU-TimeSeries,3,DE,-5.027732935095513,3.9930286747447385,3.1919999999999993
315,CMU-TimeSeries,3,FL,-7.581063922876815,22.86406115525232,3.1919999999999993
316,CMU-TimeSeries,3,GA,,,3.2299999999999995
317,CMU-TimeSeries,3,IA,-6.584566663908698,27.025676004254628,3.1919999999999993
318,CMU-TimeSeries,3,ID,-4.342675095583024,1.7118388917485994,3.1919999999999993
319,CMU-TimeSeries,3,IL,-6.875208345575731,11.256753441621766,3.1919999999999993
320,CMU-TimeSeries,3,IN,-7.193595689345598,25.155826482658334,3.1919999999999993
321,CMU-TimeSeries,3,KS,-7.2793295944203615,19.705427707415634,3.1919999999999993
322,CMU-TimeSeries,3,KY,,,3.2299999999999995
323,CMU-TimeSeries,3,LA,-6.768307031063292,12.564256489721574,3.1919999999999993
324,CMU-TimeSeries,3,MA,-7.679314669846994,11.652616451048571,3.1919999999999993
325,CMU-TimeSeries,3,MD,-5.380470473874709,5.34155140310441,3.1919999999999993
326,CMU-TimeSeries,3,ME,-4.10860300165931,1.3738332722791113,3.1919999999999993
327,CMU-TimeSeries,3,MI,-7.681753090714793,27.187285133838866,3.1919999999999993
328,CMU-TimeSeries,3,MN,-8.047685004804185,19.595583186830293,3.1919999999999993
329,CMU-TimeSeries,3,MO,-8.342600827297753,21.771187080604285,3.1919999999999993
330,CMU-TimeSeries,3,MS,-7.978176314616425,11.462915235732165,3.1919999999999993
331,CMU-TimeSeries,3,MT,-7.067787007634686,7.84549808348732,3.1919999999999993
332,CMU-TimeSeries,3,NC,-8.210941334022513,53.82732376110637,3.1919999999999993
333,CMU-TimeSeries,3,ND,-6.642808587829123,4.42533533137505,3.1919999999999993
334,CMU-TimeSeries,3,NE,-7.796773296422024,14.837453436888648,3.1919999999999993
335,CMU-TimeSeries,3,NH,-5.083063572334935,4.460356516307144,3.1919999999999993
336,CMU-TimeSeries,3,NJ,-6.132825599616875,13.605941691010075,3.1919999999999993
337,CMU-TimeSeries,3,NM,,,3.2299999999999995
338,CMU-TimeSeries,3,NV,-5.693444228256204,6.214981327624258,3.1919999999999993
339,CMU-TimeSeries,3,NY,-6.623081859510487,14.367003905886255,3.1919999999999993
340,CMU-TimeSeries,3,OH,-7.917973431473385,24.295908980009397,3.1919999999999993
341,CMU-TimeSeries,3,OK,-9.075588194092685,51.602412556853345,3.1919999999999993
